Data_Hora,IdTweet,Candidato,Tweet_limpo,Sentimento_Final
2022-08-01 02:53:51+00:00,1553937023236456448,Lula, é o mínimo que elas merecem!,Neutro
2022-08-01 02:53:47+00:00,1553937006232756224,Lula, culpa do lula que está em primeiro!!!,Neutro
2022-08-01 02:53:46+00:00,1553937001128333315,Lula, que💣💣💣,Neutro
2022-08-01 02:53:45+00:00,1553936995180859392,Lula,"    , uma dúvida 🙋‍♂️ você é a favor do lula ou terceira via ?",Positivo
2022-08-01 02:53:44+00:00,1553936990764253186,Lula," mentiroso contumaz, esse discurso de odorico paraguaçu não engana mais ninguém cidadão. vai ser bolsonaro no primeiro turno. ",Negativo
2022-08-01 02:53:43+00:00,1553936990369976320,Lula," tem 1 q não voto,nem se o lula me pedisse pessoalmente.",Neutro
2022-08-01 02:53:37+00:00,1553936962628849665,Lula," oi, palocci! beleza? ",Neutro
2022-08-01 02:53:37+00:00,1553936962448392192,Lula,  luladrão,Neutro
2022-08-01 02:53:36+00:00,1553936957859893248,Lula," onde estão essas ""milhares de pessoas""? será que vc está falando dessas aqui.👇ah, não, essas são as que estão com o mito.🇧🇷 ",Neutro
2022-08-01 02:53:35+00:00,1553936954995216384,Lula, isso foi antes do pt entrar no poder.mas vote 22 que a gente consegue de novo. ,Negativo
2022-08-01 02:53:34+00:00,1553936952910647297,Lula,"   então... nao é  pq não está no regimento, o bom senso não pode apoiar!em 2o lugar, passou dos 30 dias e no caso do lula que o ex-juiz de 1a estância passou a boiada toda... aí  podia e ainda aplaudiram. agora mudou de lado !",Negativo
2022-08-01 02:53:34+00:00,1553936952470241282,Lula,"em tempos de ódio, ouse amarlula presidente ❤️ ",Neutro
2022-08-01 02:53:32+00:00,1553936940822675456,Lula,   miraaaa juega a dos puntas la desgraciada,Neutro
2022-08-01 02:53:31+00:00,1553936937743941638,Lula,"   conto duas, mensalão e petrolão. pra não ir longe, mas tem mais",Neutro
